transaction_id,player_id,transaction_date,currency_type,bundle_tier,amount_usd,quantity_received,spend_segment,market,platform,experiment_group,install_date
34,32100,2024-04-14,coin,medium,79.99,30000,Dolphin,Other,Android,,2024-04-01
35,12420,2024-04-15,coin,medium,79.99,30000,Whale,Other,iOS,,2024-04-06
36,29789,2024-04-15,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-01
37,9624,2024-04-16,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-16
38,38567,2024-04-16,coin,large,349.99,150000,Whale,Germany,iOS,,2024-04-12
39,40642,2024-04-16,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-09
40,41083,2024-04-16,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-11
41,13398,2024-04-17,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
42,21586,2024-04-17,coin,large,349.99,150000,Whale,US,iOS,,2024-04-10
43,29998,2024-04-17,coin,large,349.99,150000,Whale,Canada,Android,,2024-04-08
44,36730,2024-04-17,coin,large,349.99,150000,Whale,US,Android,,2024-04-13
45,12094,2024-04-18,coin,large,349.99,150000,Whale,US,Android,,2024-04-12
46,18384,2024-04-18,coin,medium,79.99,30000,Minnow,US,Android,,2024-04-03
47,29433,2024-04-18,coin,medium,79.99,30000,Whale,US,Android,,2024-04-07
48,30402,2024-04-18,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-14
49,33066,2024-04-18,coin,large,349.99,150000,Whale,US,iOS,,2024-04-03
50,6020,2024-04-19,coin,large,349.99,150000,Whale,UK,Android,,2024-04-15
51,25297,2024-04-19,coin,small,29.99,10000,Dolphin,US,Android,,2024-04-19
52,28898,2024-04-19,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-04-02
53,31900,2024-04-19,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-03
54,1071,2024-04-20,coin,medium,79.99,30000,Dolphin,UK,Android,,2024-04-17
55,16349,2024-04-20,coin,medium,79.99,30000,Whale,Other,iOS,,2024-04-15
56,16564,2024-04-20,coin,large,349.99,150000,Whale,Germany,iOS,,2024-04-19
57,22204,2024-04-20,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
58,26019,2024-04-20,coin,medium,79.99,30000,Whale,Canada,iOS,,2024-04-05
59,26442,2024-04-20,coin,large,349.99,150000,Whale,US,iOS,,2024-04-02
60,34790,2024-04-20,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-03
61,41083,2024-04-20,coin,large,349.99,150000,Whale,US,iOS,,2024-04-11
62,42806,2024-04-20,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-08
63,48819,2024-04-20,coin,micro,2.99,1000,Minnow,US,iOS,,2024-04-19
64,1721,2024-04-21,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-07
65,2781,2024-04-21,coin,medium,79.99,30000,Minnow,US,iOS,,2024-04-11
66,5292,2024-04-21,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-10
67,6942,2024-04-21,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-12
68,18437,2024-04-21,coin,medium,79.99,30000,Whale,UK,iOS,,2024-04-21
69,24928,2024-04-21,coin,medium,79.99,30000,Dolphin,Australia,iOS,,2024-04-09
70,40301,2024-04-21,coin,small,29.99,10000,Minnow,Other,iOS,,2024-04-14
71,6682,2024-04-22,coin,large,349.99,150000,Whale,US,Android,,2024-04-02
72,17545,2024-04-22,coin,large,349.99,150000,Dolphin,US,Android,,2024-04-18
73,38795,2024-04-22,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
74,40808,2024-04-22,coin,medium,79.99,30000,Whale,Germany,iOS,,2024-04-14
75,47915,2024-04-22,coin,large,349.99,150000,Whale,Other,Android,,2024-04-06
76,8,2024-04-23,coin,large,349.99,150000,Whale,US,iOS,,2024-04-05
77,9828,2024-04-23,coin,large,349.99,150000,Whale,US,iOS,,2024-04-21
78,21022,2024-04-23,coin,large,349.99,150000,Whale,US,iOS,,2024-04-12
79,27353,2024-04-23,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-11
80,30630,2024-04-23,coin,small,29.99,10000,Dolphin,Other,Android,,2024-04-23
81,42032,2024-04-23,coin,large,349.99,150000,Whale,US,Android,,2024-04-15
82,42336,2024-04-23,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-17
83,44384,2024-04-23,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-08
84,3545,2024-04-24,coin,micro,2.99,1000,Minnow,US,iOS,,2024-04-06
85,11186,2024-04-24,coin,large,349.99,150000,Whale,US,iOS,,2024-04-18
86,42704,2024-04-24,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-06
87,2723,2024-04-25,coin,large,349.99,150000,Whale,US,iOS,,2024-04-09
88,15788,2024-04-25,coin,large,349.99,150000,Whale,US,Android,,2024-04-23
89,21749,2024-04-25,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-13
90,28610,2024-04-25,coin,small,29.99,10000,Minnow,US,Android,,2024-04-21
91,35522,2024-04-25,coin,micro,2.99,1000,Dolphin,US,Android,,2024-04-15
92,35812,2024-04-25,coin,medium,79.99,30000,Dolphin,Other,iOS,,2024-04-15
93,37086,2024-04-25,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-15
94,38419,2024-04-25,coin,large,349.99,150000,Whale,US,Android,,2024-04-02
95,46283,2024-04-25,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-23
96,48074,2024-04-25,coin,small,29.99,10000,Minnow,US,Android,,2024-04-25
97,49756,2024-04-25,coin,small,29.99,10000,Whale,US,iOS,,2024-04-04
98,1654,2024-04-26,coin,medium,79.99,30000,Dolphin,Other,iOS,,2024-04-20
99,14383,2024-04-26,coin,large,349.99,150000,Whale,US,iOS,,2024-04-01
100,18658,2024-04-26,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-04-03
101,23260,2024-04-26,coin,large,349.99,150000,Whale,US,iOS,,2024-04-25
102,27778,2024-04-26,coin,small,29.99,10000,Whale,US,iOS,,2024-04-01
103,38259,2024-04-26,coin,medium,79.99,30000,Whale,UK,iOS,,2024-04-19
104,38795,2024-04-26,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
105,3755,2024-04-27,coin,large,349.99,150000,Whale,US,Android,,2024-04-12
106,21544,2024-04-27,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-12
107,22299,2024-04-27,coin,micro,2.99,1000,Minnow,Other,iOS,,2024-04-04
108,23332,2024-04-27,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
109,28370,2024-04-27,coin,medium,79.99,30000,Whale,Other,iOS,,2024-04-12
110,28967,2024-04-27,coin,large,349.99,150000,Whale,US,iOS,,2024-04-27
111,29384,2024-04-27,coin,large,349.99,150000,Whale,US,iOS,,2024-04-02
112,33607,2024-04-27,coin,large,349.99,150000,Whale,US,Android,,2024-04-14
113,34075,2024-04-27,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-15
114,40642,2024-04-27,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-09
115,42673,2024-04-27,coin,small,29.99,10000,Minnow,Germany,Android,,2024-04-16
116,40728,2024-04-28,coin,micro,2.99,1000,Dolphin,US,Android,,2024-04-24
117,42806,2024-04-28,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-08
118,44835,2024-04-28,coin,medium,79.99,30000,Whale,US,Android,,2024-04-24
119,1877,2024-04-29,coin,large,349.99,150000,Dolphin,US,iOS,,2024-04-21
120,3187,2024-04-29,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-28
121,8229,2024-04-29,coin,large,349.99,150000,Whale,Other,Android,,2024-04-26
122,8510,2024-04-29,coin,large,349.99,150000,Whale,US,Android,,2024-04-08
123,9084,2024-04-29,coin,medium,79.99,30000,Dolphin,US,Android,,2024-04-10
124,10668,2024-04-29,coin,small,29.99,10000,Minnow,US,Android,,2024-04-14
125,18437,2024-04-29,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-21
126,23804,2024-04-29,coin,small,29.99,10000,Dolphin,US,iOS,,2024-04-10
127,33594,2024-04-29,coin,medium,79.99,30000,Dolphin,US,Android,,2024-04-06
128,6942,2024-04-30,coin,medium,79.99,30000,Whale,Canada,iOS,,2024-04-12
129,18995,2024-04-30,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-27
130,28967,2024-04-30,coin,large,349.99,150000,Whale,US,iOS,,2024-04-27
131,31631,2024-04-30,coin,medium,79.99,30000,Whale,Canada,iOS,,2024-04-05
132,39164,2024-04-30,coin,micro,2.99,1000,Dolphin,Canada,iOS,,2024-04-28
133,44091,2024-04-30,coin,large,349.99,150000,Whale,US,iOS,,2024-04-15
134,3751,2024-05-01,coin,large,349.99,150000,Dolphin,Other,Android,,2024-04-16
135,6682,2024-05-01,coin,large,349.99,150000,Whale,US,Android,,2024-04-02
136,7839,2024-05-01,coin,medium,79.99,30000,Minnow,Canada,Android,,2024-04-15
137,7914,2024-05-01,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-22
138,11228,2024-05-01,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-16
139,33263,2024-05-01,coin,large,349.99,150000,Whale,UK,Android,,2024-04-09
140,36886,2024-05-01,coin,medium,79.99,30000,Dolphin,Other,iOS,,2024-04-11
141,38880,2024-05-01,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-04-30
142,43739,2024-05-01,coin,medium,79.99,30000,Minnow,US,Android,,2024-04-16
143,44162,2024-05-01,coin,small,29.99,10000,Dolphin,UK,iOS,,2024-04-06
144,11186,2024-05-02,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-18
145,12094,2024-05-02,coin,large,349.99,150000,Whale,US,Android,,2024-04-12
146,13829,2024-05-02,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-23
147,20220,2024-05-02,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-04
148,20337,2024-05-02,coin,large,349.99,150000,Dolphin,US,Android,,2024-04-25
149,24928,2024-05-02,coin,medium,79.99,30000,Dolphin,Australia,iOS,,2024-04-09
150,32404,2024-05-02,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-03
151,36953,2024-05-02,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-20
152,37858,2024-05-02,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-17
153,38567,2024-05-02,coin,large,349.99,150000,Whale,Germany,iOS,,2024-04-12
154,47040,2024-05-02,coin,medium,79.99,30000,Minnow,UK,iOS,,2024-04-08
155,1574,2024-05-03,coin,medium,79.99,30000,Dolphin,Other,iOS,,2024-04-13
156,3181,2024-05-03,coin,large,349.99,150000,Whale,US,Android,,2024-04-09
157,11985,2024-05-03,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
158,24033,2024-05-03,coin,large,349.99,150000,Whale,UK,Android,,2024-04-09
159,24751,2024-05-03,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-29
160,26442,2024-05-03,coin,large,349.99,150000,Whale,US,iOS,,2024-04-02
161,37030,2024-05-03,coin,small,29.99,10000,Minnow,UK,iOS,,2024-04-18
162,40121,2024-05-03,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-12
163,43295,2024-05-03,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-16
164,6879,2024-05-04,coin,large,349.99,150000,Whale,US,iOS,,2024-04-03
165,12094,2024-05-04,coin,large,349.99,150000,Whale,US,Android,,2024-04-12
166,13065,2024-05-04,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-02
167,13942,2024-05-04,coin,large,349.99,150000,Whale,US,iOS,,2024-04-05
168,16296,2024-05-04,coin,large,349.99,150000,Dolphin,UK,iOS,,2024-05-04
169,27768,2024-05-04,coin,large,349.99,150000,Whale,US,iOS,,2024-05-04
170,31767,2024-05-04,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-18
171,8,2024-05-05,coin,large,349.99,150000,Whale,US,iOS,,2024-04-05
172,5598,2024-05-05,coin,large,349.99,150000,Whale,US,Android,,2024-04-11
173,16457,2024-05-05,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
174,21586,2024-05-05,coin,large,349.99,150000,Whale,US,iOS,,2024-04-10
175,23861,2024-05-05,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-25
176,28351,2024-05-05,coin,large,349.99,150000,Whale,Australia,Android,,2024-05-02
177,28370,2024-05-05,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-12
178,37415,2024-05-05,coin,medium,79.99,30000,Whale,Other,iOS,,2024-05-02
179,48045,2024-05-05,coin,large,349.99,150000,Whale,US,Android,,2024-04-14
180,49542,2024-05-05,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-08
181,49687,2024-05-05,coin,medium,79.99,30000,Dolphin,UK,Android,,2024-04-22
182,8952,2024-05-06,coin,small,29.99,10000,Dolphin,Canada,Android,,2024-04-12
183,9828,2024-05-06,coin,large,349.99,150000,Whale,US,iOS,,2024-04-21
184,13877,2024-05-06,coin,medium,79.99,30000,Dolphin,Germany,iOS,,2024-04-02
185,19108,2024-05-06,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-30
186,22417,2024-05-06,coin,large,349.99,150000,Dolphin,UK,iOS,,2024-04-04
187,26696,2024-05-06,coin,large,349.99,150000,Whale,US,iOS,,2024-04-30
188,29128,2024-05-06,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-22
189,29320,2024-05-06,coin,micro,2.99,1000,Minnow,US,iOS,,2024-04-23
190,33177,2024-05-06,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-05
191,37818,2024-05-06,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-04-03
192,38419,2024-05-06,coin,large,349.99,150000,Whale,US,Android,,2024-04-02
193,41115,2024-05-06,coin,large,349.99,150000,Whale,US,iOS,,2024-05-06
194,3268,2024-05-07,coin,medium,79.99,30000,Dolphin,Other,iOS,,2024-04-28
195,11985,2024-05-07,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
196,13662,2024-05-07,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-27
197,16086,2024-05-07,coin,large,349.99,150000,Whale,US,iOS,,2024-05-01
198,18374,2024-05-07,coin,medium,79.99,30000,Whale,Australia,iOS,,2024-04-03
199,18374,2024-05-07,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-03
200,19100,2024-05-07,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-12
201,19744,2024-05-07,coin,large,349.99,150000,Dolphin,Other,iOS,,2024-04-08
202,20647,2024-05-07,coin,medium,79.99,30000,Whale,Canada,iOS,,2024-04-21
203,24070,2024-05-07,coin,large,349.99,150000,Dolphin,Other,iOS,,2024-04-13
204,32897,2024-05-07,coin,small,29.99,10000,Minnow,Canada,iOS,,2024-05-01
205,44840,2024-05-07,coin,large,349.99,150000,Whale,UK,iOS,,2024-05-06
206,46066,2024-05-07,coin,medium,79.99,30000,Minnow,Australia,iOS,,2024-04-29
207,48502,2024-05-07,coin,small,29.99,10000,Dolphin,US,Android,,2024-04-05
208,49542,2024-05-07,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
209,3059,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-05-08
210,7609,2024-05-08,coin,small,29.99,10000,Dolphin,US,Android,,2024-04-09
211,9178,2024-05-08,coin,medium,79.99,30000,Dolphin,Germany,iOS,,2024-04-12
212,11897,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-30
213,13918,2024-05-08,coin,large,349.99,150000,Minnow,US,iOS,,2024-04-07
214,18651,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-30
215,22204,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
216,25270,2024-05-08,coin,large,349.99,150000,Whale,Canada,Android,,2024-05-07
217,26442,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-02
218,31298,2024-05-08,coin,micro,2.99,1000,Dolphin,Other,Android,,2024-04-10
219,34580,2024-05-08,coin,large,349.99,150000,Whale,US,Android,,2024-04-29
220,39414,2024-05-08,coin,medium,79.99,30000,Whale,US,Android,,2024-04-30
221,42501,2024-05-08,coin,medium,79.99,30000,Minnow,UK,Android,,2024-05-04
222,44091,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-15
223,45551,2024-05-08,coin,small,29.99,10000,Dolphin,US,Android,,2024-04-25
224,46734,2024-05-08,coin,small,29.99,10000,Minnow,Germany,Android,,2024-04-23
225,48045,2024-05-08,coin,large,349.99,150000,Whale,US,Android,,2024-04-14
226,49756,2024-05-08,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
227,4429,2024-05-09,coin,small,29.99,10000,Dolphin,Other,iOS,,2024-04-21
228,6019,2024-05-09,coin,large,349.99,150000,Whale,Germany,iOS,,2024-05-07
229,11851,2024-05-09,coin,large,349.99,150000,Whale,Other,Android,,2024-05-01
230,12094,2024-05-09,coin,large,349.99,150000,Whale,US,Android,,2024-04-12
231,14610,2024-05-09,coin,large,349.99,150000,Whale,US,iOS,,2024-04-18
232,22204,2024-05-09,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
233,23065,2024-05-09,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-08
234,27222,2024-05-09,coin,small,29.99,10000,Minnow,UK,iOS,,2024-04-30
235,28673,2024-05-09,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-20
236,29433,2024-05-09,coin,large,349.99,150000,Whale,US,Android,,2024-04-07
237,31631,2024-05-09,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-05
238,34192,2024-05-09,coin,large,349.99,150000,Whale,US,iOS,,2024-04-27
239,36335,2024-05-09,coin,large,349.99,150000,Whale,Germany,iOS,,2024-04-29
240,36726,2024-05-09,coin,large,349.99,150000,Whale,US,iOS,,2024-05-01
241,39284,2024-05-09,coin,small,29.99,10000,Minnow,Germany,Android,,2024-04-11
242,46728,2024-05-09,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-26
243,49542,2024-05-09,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
244,2039,2024-05-10,coin,medium,79.99,30000,Dolphin,Canada,iOS,,2024-04-22
245,7946,2024-05-10,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-06
246,9828,2024-05-10,coin,large,349.99,150000,Whale,US,iOS,,2024-04-21
247,17331,2024-05-10,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-04-10
248,18408,2024-05-10,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-10
249,21022,2024-05-10,coin,large,349.99,150000,Whale,US,iOS,,2024-04-12
250,27023,2024-05-10,coin,medium,79.99,30000,Whale,US,iOS,,2024-05-06
251,30402,2024-05-10,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-14
252,34580,2024-05-10,coin,small,29.99,10000,Whale,US,Android,,2024-04-29
253,38795,2024-05-10,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
254,49142,2024-05-10,coin,medium,79.99,30000,Minnow,US,Android,,2024-04-13
255,769,2024-05-11,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-28
256,2735,2024-05-11,coin,large,349.99,150000,Whale,UK,Android,,2024-04-18
257,3187,2024-05-11,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-28
258,7866,2024-05-11,coin,medium,79.99,30000,Dolphin,Australia,iOS,,2024-04-01
259,13829,2024-05-11,coin,large,349.99,150000,Whale,US,iOS,,2024-04-23
260,17704,2024-05-11,coin,small,29.99,10000,Minnow,Australia,iOS,,2024-04-27
261,20885,2024-05-11,coin,large,349.99,150000,Whale,US,Android,,2024-04-24
262,21965,2024-05-11,coin,large,349.99,150000,Whale,UK,Android,,2024-05-10
263,22827,2024-05-11,coin,medium,79.99,30000,Dolphin,Germany,Android,,2024-04-05
264,23007,2024-05-11,coin,medium,79.99,30000,Minnow,US,iOS,,2024-05-06
265,24751,2024-05-11,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-29
266,26090,2024-05-11,coin,small,29.99,10000,Minnow,Germany,iOS,,2024-05-04
267,29439,2024-05-11,coin,small,29.99,10000,Minnow,Other,Android,,2024-04-25
268,29875,2024-05-11,coin,large,349.99,150000,Whale,US,Android,,2024-05-06
269,34700,2024-05-11,coin,large,349.99,150000,Whale,US,Android,,2024-05-11
270,35758,2024-05-11,coin,large,349.99,150000,Whale,US,Android,,2024-04-11
271,36953,2024-05-11,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-20
272,46847,2024-05-11,coin,large,349.99,150000,Whale,US,iOS,,2024-04-18
273,49426,2024-05-11,coin,large,349.99,150000,Whale,UK,iOS,,2024-04-11
274,49756,2024-05-11,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
275,769,2024-05-12,coin,large,349.99,150000,Whale,US,iOS,,2024-04-28
276,4156,2024-05-12,coin,large,349.99,150000,Whale,US,Android,,2024-04-29
277,4658,2024-05-12,coin,large,349.99,150000,Whale,Canada,Android,,2024-05-07
278,8510,2024-05-12,coin,large,349.99,150000,Whale,US,Android,,2024-04-08
279,14978,2024-05-12,coin,small,29.99,10000,Minnow,Canada,iOS,,2024-04-26
280,16457,2024-05-12,coin,large,349.99,150000,Whale,US,iOS,,2024-04-20
281,22613,2024-05-12,coin,large,349.99,150000,Whale,US,Android,,2024-04-30
282,22673,2024-05-12,coin,small,29.99,10000,Dolphin,US,iOS,,2024-04-30
283,28877,2024-05-12,coin,large,349.99,150000,Whale,Other,Android,,2024-04-30
284,29310,2024-05-12,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-06
285,36316,2024-05-12,coin,small,29.99,10000,Whale,US,Android,,2024-04-06
286,36530,2024-05-12,coin,small,29.99,10000,Minnow,US,iOS,,2024-04-18
287,44091,2024-05-12,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-15
288,48567,2024-05-12,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-04
289,2333,2024-05-13,coin,large,349.99,150000,Whale,US,iOS,,2024-05-12
290,11186,2024-05-13,coin,large,349.99,150000,Whale,US,iOS,,2024-04-18
291,14418,2024-05-13,coin,medium,79.99,30000,Whale,UK,iOS,,2024-05-05
292,18513,2024-05-13,coin,large,349.99,150000,Whale,Other,Android,,2024-04-23
293,27274,2024-05-13,coin,large,349.99,150000,Whale,UK,Android,,2024-05-07
294,29550,2024-05-13,coin,small,29.99,10000,Dolphin,US,Android,,2024-04-08
295,30291,2024-05-13,coin,small,29.99,10000,Dolphin,UK,iOS,,2024-04-02
296,33837,2024-05-13,coin,large,349.99,150000,Whale,US,Android,,2024-04-13
297,37304,2024-05-13,coin,large,349.99,150000,Whale,US,Android,,2024-04-08
298,38795,2024-05-13,coin,large,349.99,150000,Whale,US,iOS,,2024-04-04
299,40393,2024-05-13,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-05-05
300,42088,2024-05-13,coin,small,29.99,10000,Dolphin,Other,iOS,,2024-05-07
301,46146,2024-05-13,coin,medium,79.99,30000,Dolphin,Australia,iOS,,2024-04-08
302,47660,2024-05-13,coin,large,349.99,150000,Whale,Australia,Android,,2024-05-06
303,49352,2024-05-13,coin,large,349.99,150000,Whale,US,iOS,,2024-04-09
304,49676,2024-05-13,coin,medium,79.99,30000,Dolphin,US,iOS,,2024-04-20
305,13399,2024-05-14,coin,medium,79.99,30000,Dolphin,Australia,Android,,2024-04-15
306,13942,2024-05-14,coin,large,349.99,150000,Whale,US,iOS,,2024-04-05
307,14610,2024-05-14,coin,large,349.99,150000,Whale,US,iOS,,2024-04-18
308,15582,2024-05-14,coin,large,349.99,150000,Whale,Canada,iOS,,2024-05-03
309,17056,2024-05-14,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-10
310,19108,2024-05-14,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-30
311,23317,2024-05-14,coin,large,349.99,150000,Whale,US,Android,,2024-04-19
312,23455,2024-05-14,coin,medium,79.99,30000,Whale,Other,iOS,,2024-04-02
313,23625,2024-05-14,coin,micro,2.99,1000,Minnow,US,iOS,,2024-04-27
314,24898,2024-05-14,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-12
315,25182,2024-05-14,coin,small,29.99,10000,Minnow,US,Android,,2024-05-07
316,27369,2024-05-14,coin,medium,79.99,30000,Minnow,US,iOS,,2024-05-05
317,28351,2024-05-14,coin,large,349.99,150000,Whale,Australia,Android,,2024-05-02
318,31010,2024-05-14,coin,micro,2.99,1000,Minnow,US,Android,,2024-04-06
319,40476,2024-05-14,coin,small,29.99,10000,Dolphin,UK,iOS,,2024-04-28
320,41190,2024-05-14,coin,large,349.99,150000,Whale,US,iOS,,2024-05-06
