player_id,install_date,install_month,spend_segment,market,platform,experiment_group,total_revenue,total_sessions,total_spins,first_purchase_date,last_session_date
27,2024-06-01,2024-06,Minnow,US,iOS,,0,34,655,,2024-09-26
28,2024-08-14,2024-08,Dolphin,US,iOS,Treatment,0,39,2065,,2024-09-28
29,2024-04-11,2024-04,Minnow,US,iOS,,0,40,851,,2024-09-10
30,2024-06-09,2024-06,Minnow,US,Android,,0,1,19,,2024-06-13
31,2024-07-03,2024-07,Minnow,Germany,iOS,Control,0,9,175,,2024-08-14
32,2024-07-08,2024-07,Minnow,Canada,Android,Treatment,0,16,333,,2024-09-06
33,2024-06-13,2024-06,Dolphin,US,Android,,79.99,68,3738,2024-08-18,2024-09-28
34,2024-08-18,2024-08,Minnow,Other,iOS,Control,0,2,43,,2024-08-22
35,2024-07-24,2024-07,Minnow,Other,Android,Control,0,18,275,,2024-09-22
36,2024-05-12,2024-05,Minnow,US,iOS,,0,20,409,,2024-07-26
37,2024-05-30,2024-05,Minnow,US,iOS,,0,31,656,,2024-09-23
38,2024-04-13,2024-04,Minnow,Australia,iOS,,0,23,457,,2024-06-24
39,2024-08-14,2024-08,Minnow,US,Android,Control,0,8,167,,2024-09-27
40,2024-08-21,2024-08,Minnow,US,Android,Treatment,0,4,78,,2024-09-07
41,2024-04-01,2024-04,Minnow,US,Android,,0,15,279,,2024-05-21
42,2024-09-27,2024-09,Minnow,US,iOS,Control,0,0,0,,
43,2024-09-14,2024-09,Minnow,US,Android,Control,0,2,45,,2024-09-25
44,2024-06-17,2024-06,Minnow,US,Android,,0,6,116,,2024-07-10
45,2024-04-12,2024-04,Minnow,US,iOS,,0,38,717,,2024-09-23
46,2024-08-11,2024-08,Minnow,Other,iOS,Treatment,0,11,209,,2024-09-17
47,2024-05-12,2024-05,Minnow,US,iOS,,0,36,767,,2024-09-24
48,2024-08-03,2024-08,Minnow,Other,Android,Control,0,6,106,,2024-08-24
49,2024-05-08,2024-05,Dolphin,Canada,Android,,0,112,6207,,2024-09-26
50,2024-06-28,2024-06,Minnow,US,Android,,0,5,121,,2024-07-22
51,2024-07-31,2024-07,Whale,Germany,iOS,Treatment,779.97,93,13054,2024-08-22,2024-09-28
52,2024-04-16,2024-04,Minnow,US,iOS,,0,5,86,,2024-05-07
53,2024-07-27,2024-07,Minnow,US,Android,Control,0,2,37,,2024-08-13
54,2024-07-15,2024-07,Minnow,Other,iOS,Treatment,0,5,93,,2024-07-31
55,2024-04-24,2024-04,Minnow,US,iOS,,0,36,691,,2024-09-21
56,2024-09-17,2024-09,Minnow,Australia,iOS,Control,0,5,91,,2024-09-28
57,2024-05-21,2024-05,Minnow,US,iOS,,0,6,105,,2024-06-25
58,2024-09-14,2024-09,Minnow,Other,iOS,Control,0,3,49,,2024-09-27
59,2024-06-11,2024-06,Minnow,US,iOS,,0,2,43,,2024-06-17
60,2024-05-24,2024-05,Minnow,US,Android,,0,30,631,,2024-08-25
61,2024-04-29,2024-04,Minnow,US,Android,,0,4,60,,2024-05-06
62,2024-06-28,2024-06,Minnow,US,Android,,0,25,479,,2024-09-23
63,2024-08-21,2024-08,Minnow,Other,iOS,Treatment,0,6,109,,2024-09-08
64,2024-06-27,2024-06,Minnow,US,iOS,,0,6,108,,2024-07-16
65,2024-06-18,2024-06,Minnow,US,Android,,0,0,0,,
66,2024-05-05,2024-05,Minnow,Other,iOS,,0,22,421,,2024-08-31
67,2024-07-20,2024-07,Minnow,US,Android,Control,0,22,459,,2024-09-28
68,2024-04-18,2024-04,Minnow,US,iOS,,0,9,173,,2024-05-17
69,2024-04-08,2024-04,Minnow,Other,iOS,,0,3,48,,2024-04-19
70,2024-05-25,2024-05,Minnow,UK,iOS,,0,33,632,,2024-09-24
71,2024-09-17,2024-09,Minnow,Germany,iOS,Control,0,3,51,,2024-09-28
72,2024-05-26,2024-05,Minnow,US,iOS,,0,20,405,,2024-07-30
73,2024-08-06,2024-08,Whale,UK,Android,Control,349.99,96,13483,2024-08-14,2024-09-27
74,2024-06-16,2024-06,Minnow,Canada,iOS,,0,8,171,,2024-07-10
75,2024-05-31,2024-05,Minnow,Other,Android,,0,30,638,,2024-09-22
76,2024-09-05,2024-09,Whale,Germany,iOS,Treatment,129.98,33,4591,2024-09-11,2024-09-28
77,2024-07-18,2024-07,Minnow,Germany,iOS,Treatment,0,21,470,,2024-09-27
78,2024-06-28,2024-06,Minnow,US,Android,,0,18,339,,2024-09-18
79,2024-07-14,2024-07,Minnow,US,Android,Control,0,9,187,,2024-08-12
80,2024-08-18,2024-08,Minnow,US,Android,Control,0,11,219,,2024-09-22
81,2024-07-08,2024-07,Minnow,US,Android,Control,0,6,114,,2024-07-29
82,2024-04-19,2024-04,Minnow,US,Android,,0,6,100,,2024-04-28
83,2024-07-20,2024-07,Minnow,Other,iOS,Control,0,11,222,,2024-09-28
84,2024-09-12,2024-09,Minnow,US,iOS,Treatment,349.99,4,63,2024-09-14,2024-09-26
85,2024-06-17,2024-06,Minnow,US,iOS,,0,17,368,,2024-08-30
86,2024-09-05,2024-09,Dolphin,US,Android,Treatment,0,16,805,,2024-09-27
87,2024-08-03,2024-08,Minnow,US,iOS,Treatment,0,2,41,,2024-08-16
88,2024-07-21,2024-07,Minnow,US,iOS,Treatment,0,5,110,,2024-08-07
89,2024-04-29,2024-04,Minnow,US,Android,,0,3,73,,2024-05-09
90,2024-07-01,2024-07,Minnow,US,iOS,Treatment,0,16,288,,2024-09-26
91,2024-06-05,2024-06,Minnow,Germany,Android,,0,9,177,,2024-07-04
92,2024-08-19,2024-08,Minnow,Other,iOS,Treatment,0,0,0,,
93,2024-09-25,2024-09,Minnow,Germany,iOS,Control,0,0,0,,
94,2024-06-12,2024-06,Minnow,US,iOS,,0,28,487,,2024-09-26
95,2024-08-31,2024-08,Whale,US,iOS,Treatment,1249.95,55,7586,2024-09-07,2024-09-26
96,2024-05-04,2024-05,Minnow,Germany,Android,,0,6,120,,2024-05-27
97,2024-08-24,2024-08,Minnow,US,Android,Control,0,7,137,,2024-09-26
98,2024-09-16,2024-09,Minnow,US,iOS,Treatment,0,5,83,,2024-09-25
99,2024-09-21,2024-09,Minnow,US,iOS,Control,0,1,12,,2024-09-28
100,2024-08-01,2024-08,Dolphin,Germany,iOS,Treatment,39.99,40,2348,2024-09-18,2024-09-28
101,2024-04-13,2024-04,Minnow,Other,Android,,0,26,533,,2024-07-26
102,2024-08-29,2024-08,Minnow,Other,iOS,Treatment,0,6,113,,2024-09-21
103,2024-06-06,2024-06,Dolphin,US,iOS,,0,65,3767,,2024-09-25
104,2024-09-09,2024-09,Minnow,Canada,Android,Treatment,0,1,16,,2024-09-12
105,2024-07-04,2024-07,Minnow,US,iOS,Control,0,18,411,,2024-09-16
106,2024-07-10,2024-07,Minnow,Other,iOS,Treatment,0,18,396,,2024-09-28
107,2024-07-14,2024-07,Minnow,Australia,iOS,Treatment,0,7,166,,2024-08-09
108,2024-06-01,2024-06,Dolphin,Germany,Android,,0,78,4429,,2024-09-27
109,2024-04-16,2024-04,Dolphin,Canada,Android,,29.99,94,5005,2024-09-11,2024-09-27
110,2024-09-27,2024-09,Minnow,US,iOS,Control,0,0,0,,
111,2024-05-21,2024-05,Minnow,Australia,iOS,,0,38,730,,2024-09-28
112,2024-07-11,2024-07,Minnow,Australia,iOS,Treatment,59.98,15,322,2024-07-17,2024-09-27
113,2024-05-29,2024-05,Minnow,US,iOS,,0,12,235,,2024-07-21
114,2024-06-03,2024-06,Minnow,Other,iOS,,0,31,628,,2024-09-28
115,2024-07-09,2024-07,Minnow,Australia,iOS,Control,0,8,130,,2024-08-22
116,2024-07-28,2024-07,Minnow,US,iOS,Control,0,4,79,,2024-08-06
117,2024-04-25,2024-04,Minnow,UK,Android,,0,37,725,,2024-09-22
118,2024-05-10,2024-05,Minnow,US,iOS,,0,37,714,,2024-09-25
119,2024-08-12,2024-08,Minnow,Canada,iOS,Treatment,0,14,266,,2024-09-22
120,2024-08-07,2024-08,Minnow,Canada,Android,Treatment,0,12,251,,2024-09-26
121,2024-05-05,2024-05,Minnow,Other,Android,,0,30,607,,2024-09-02
122,2024-07-11,2024-07,Dolphin,UK,iOS,Control,0,57,3068,,2024-09-28
123,2024-09-04,2024-09,Minnow,US,Android,Control,0,3,60,,2024-09-28
124,2024-08-15,2024-08,Dolphin,US,iOS,Treatment,0,21,1324,,2024-09-28
125,2024-09-19,2024-09,Minnow,US,iOS,Control,0,1,26,,2024-09-28
126,2024-08-06,2024-08,Minnow,US,iOS,Control,0,6,115,,2024-08-15
127,2024-05-03,2024-05,Minnow,US,iOS,,0,9,181,,2024-06-07
128,2024-08-23,2024-08,Minnow,Germany,iOS,Treatment,0,7,141,,2024-09-27
129,2024-07-06,2024-07,Minnow,Germany,iOS,Control,0,14,336,,2024-08-23
130,2024-07-13,2024-07,Minnow,US,Android,Control,0,2,34,,2024-07-15
131,2024-08-26,2024-08,Minnow,US,Android,Control,0,6,106,,2024-09-23
132,2024-04-29,2024-04,Minnow,Germany,Android,,0,7,164,,2024-05-28
133,2024-07-01,2024-07,Minnow,Germany,iOS,Control,0,20,419,,2024-09-26
134,2024-08-15,2024-08,Minnow,Australia,Android,Control,0,0,0,,
135,2024-06-03,2024-06,Minnow,US,iOS,,0,17,371,,2024-08-16
136,2024-07-23,2024-07,Minnow,Australia,iOS,Treatment,0,16,328,,2024-09-23
137,2024-09-22,2024-09,Dolphin,US,Android,Treatment,0,3,146,,2024-09-28
138,2024-05-19,2024-05,Minnow,UK,Android,,0,30,582,,2024-09-28
139,2024-05-11,2024-05,Whale,UK,Android,,699.98,258,35963,2024-06-30,2024-09-28
140,2024-08-07,2024-08,Minnow,US,iOS,Control,0,10,227,,2024-09-12
141,2024-05-07,2024-05,Minnow,US,iOS,,0,42,890,,2024-09-27
142,2024-07-07,2024-07,Minnow,UK,iOS,Treatment,0,4,90,,2024-07-21
143,2024-06-19,2024-06,Minnow,Other,Android,,0,1,30,,2024-06-20
144,2024-05-11,2024-05,Minnow,UK,Android,,0,30,630,,2024-09-15
145,2024-07-25,2024-07,Dolphin,US,iOS,Control,29.99,50,2598,2024-09-23,2024-09-28
146,2024-04-04,2024-04,Minnow,US,iOS,,0,15,320,,2024-05-31
147,2024-06-28,2024-06,Minnow,US,Android,,0,29,590,,2024-09-27
148,2024-05-20,2024-05,Minnow,Canada,Android,,0,31,571,,2024-09-27
149,2024-06-25,2024-06,Minnow,Germany,iOS,,0,23,478,,2024-09-20
150,2024-08-27,2024-08,Minnow,Other,Android,Treatment,0,5,89,,2024-09-19
151,2024-08-09,2024-08,Dolphin,UK,Android,Control,0,30,1696,,2024-09-28
152,2024-06-02,2024-06,Minnow,UK,Android,,0,14,260,,2024-08-05
153,2024-08-20,2024-08,Minnow,US,Android,Control,0,4,57,,2024-09-19
154,2024-05-16,2024-05,Minnow,US,iOS,,0,27,521,,2024-09-16
155,2024-07-11,2024-07,Minnow,UK,iOS,Treatment,0,19,366,,2024-09-05
156,2024-04-17,2024-04,Minnow,UK,iOS,,0,8,163,,2024-05-25
157,2024-07-19,2024-07,Minnow,UK,Android,Control,0,20,385,,2024-09-27
158,2024-06-23,2024-06,Minnow,US,iOS,,0,14,286,,2024-08-13
159,2024-06-27,2024-06,Minnow,US,iOS,,0,4,86,,2024-07-08
160,2024-04-12,2024-04,Minnow,US,iOS,,0,10,164,,2024-06-02
161,2024-06-12,2024-06,Minnow,US,Android,,0,27,535,,2024-09-20
162,2024-05-15,2024-05,Minnow,Other,iOS,,0,29,536,,2024-09-13
163,2024-06-04,2024-06,Minnow,UK,iOS,,2.99,21,438,2024-06-19,2024-08-24
164,2024-04-28,2024-04,Minnow,Canada,iOS,,0,3,59,,2024-05-13
165,2024-06-06,2024-06,Dolphin,Australia,Android,,0,66,3588,,2024-09-27
166,2024-05-27,2024-05,Minnow,US,iOS,,0,20,400,,2024-08-28
167,2024-04-27,2024-04,Minnow,UK,iOS,,0,15,265,,2024-06-02
168,2024-04-12,2024-04,Minnow,Germany,Android,,0,41,745,,2024-09-28
169,2024-06-24,2024-06,Dolphin,US,Android,,0,60,3362,,2024-09-26
170,2024-05-17,2024-05,Minnow,Germany,Android,,0,29,537,,2024-09-25
171,2024-07-21,2024-07,Dolphin,Other,Android,Control,29.99,52,2792,2024-08-24,2024-09-26
172,2024-08-01,2024-08,Minnow,Other,iOS,Control,0,0,0,,
173,2024-08-29,2024-08,Minnow,Australia,iOS,Treatment,0,3,75,,2024-09-06
174,2024-04-23,2024-04,Minnow,UK,iOS,,0,33,642,,2024-08-25
175,2024-06-02,2024-06,Minnow,Germany,iOS,,0,3,59,,2024-06-08
176,2024-08-04,2024-08,Minnow,US,Android,Control,0,16,307,,2024-09-21
177,2024-04-07,2024-04,Minnow,US,iOS,,0,46,984,,2024-09-21
178,2024-09-24,2024-09,Minnow,US,Android,Control,0,1,26,,2024-09-27
179,2024-07-25,2024-07,Minnow,UK,Android,Control,0,19,355,,2024-09-01
180,2024-05-26,2024-05,Minnow,US,iOS,,0,21,401,,2024-08-26
181,2024-04-22,2024-04,Minnow,US,iOS,,0,36,711,,2024-09-21
182,2024-06-14,2024-06,Minnow,Canada,iOS,,0,0,0,,
183,2024-07-18,2024-07,Minnow,US,iOS,Treatment,0,17,358,,2024-09-22
184,2024-07-05,2024-07,Minnow,UK,Android,Control,0,8,127,,2024-08-04
185,2024-06-16,2024-06,Minnow,Canada,Android,,0,23,462,,2024-09-15
186,2024-04-12,2024-04,Whale,Other,iOS,,349.99,286,40061,2024-06-28,2024-09-28
187,2024-08-07,2024-08,Minnow,US,iOS,Control,0,16,311,,2024-09-19
188,2024-08-29,2024-08,Minnow,US,Android,Control,0,6,160,,2024-09-28
189,2024-05-03,2024-05,Minnow,Australia,Android,,0,0,0,,
190,2024-04-07,2024-04,Minnow,US,iOS,,0,28,530,,2024-07-18
191,2024-06-25,2024-06,Minnow,US,iOS,,0,13,260,,2024-08-01
192,2024-05-08,2024-05,Minnow,Other,iOS,,0,35,713,,2024-09-27
193,2024-06-16,2024-06,Minnow,UK,iOS,,0,14,261,,2024-08-09
194,2024-04-14,2024-04,Minnow,Australia,iOS,,0,2,22,,2024-04-19
195,2024-05-29,2024-05,Minnow,US,iOS,,0,0,0,,
196,2024-07-06,2024-07,Minnow,Other,iOS,Control,0,12,259,,2024-08-07
197,2024-04-29,2024-04,Minnow,US,iOS,,0,1,19,,2024-05-05
198,2024-06-16,2024-06,Minnow,Germany,Android,,0,22,458,,2024-09-26
199,2024-07-14,2024-07,Minnow,US,iOS,Treatment,0,6,134,,2024-08-09
200,2024-04-26,2024-04,Minnow,Other,Android,,0,36,737,,2024-09-25
201,2024-09-13,2024-09,Minnow,Canada,Android,Treatment,0,6,109,,2024-09-26
202,2024-08-29,2024-08,Minnow,Australia,iOS,Treatment,0,5,110,,2024-09-27
203,2024-07-26,2024-07,Minnow,US,iOS,Treatment,0,10,189,,2024-09-28
204,2024-07-14,2024-07,Minnow,US,iOS,Treatment,0,6,105,,2024-08-17
205,2024-09-14,2024-09,Minnow,US,iOS,Control,0,3,60,,2024-09-28
206,2024-09-12,2024-09,Minnow,US,iOS,Control,0,4,84,,2024-09-27
207,2024-04-30,2024-04,Minnow,Germany,iOS,,0,20,400,,2024-07-19
208,2024-06-29,2024-06,Minnow,UK,Android,,0,4,91,,2024-07-13
209,2024-04-14,2024-04,Minnow,US,Android,,0,17,370,,2024-06-29
210,2024-08-18,2024-08,Minnow,US,iOS,Treatment,0,2,37,,2024-08-23
211,2024-07-11,2024-07,Minnow,US,Android,Control,0,8,143,,2024-08-09
212,2024-06-06,2024-06,Minnow,Other,Android,,0,23,523,,2024-09-08
213,2024-08-26,2024-08,Minnow,Germany,Android,Treatment,0,3,72,,2024-09-04
214,2024-09-05,2024-09,Minnow,US,iOS,Treatment,0,6,100,,2024-09-27
215,2024-08-03,2024-08,Minnow,US,Android,Control,0,10,203,,2024-09-21
216,2024-07-13,2024-07,Minnow,Canada,Android,Treatment,0,10,210,,2024-08-08
217,2024-05-12,2024-05,Minnow,US,iOS,,0,13,241,,2024-07-01
218,2024-07-01,2024-07,Minnow,Australia,iOS,Treatment,0,24,465,,2024-09-28
219,2024-08-27,2024-08,Whale,US,Android,Control,699.98,56,7765,2024-09-07,2024-09-28
220,2024-05-29,2024-05,Minnow,US,iOS,,0,25,563,,2024-09-15
221,2024-09-13,2024-09,Dolphin,Other,Android,Treatment,0,15,741,,2024-09-27
222,2024-09-11,2024-09,Minnow,US,Android,Control,0,4,80,,2024-09-27
223,2024-05-24,2024-05,Minnow,Canada,iOS,,0,5,81,,2024-06-06
224,2024-07-02,2024-07,Minnow,US,iOS,Control,0,17,403,,2024-09-06
225,2024-05-26,2024-05,Minnow,US,Android,,0,25,488,,2024-09-07
226,2024-06-27,2024-06,Minnow,US,Android,,0,24,404,,2024-09-28
227,2024-08-02,2024-08,Minnow,Germany,Android,Control,0,1,10,,2024-08-04
228,2024-07-08,2024-07,Minnow,US,iOS,Control,0,20,313,,2024-09-27
229,2024-06-26,2024-06,Minnow,US,Android,,0,22,475,,2024-09-13
230,2024-06-05,2024-06,Minnow,Canada,iOS,,0,14,281,,2024-08-02
231,2024-04-06,2024-04,Minnow,Canada,iOS,,0,19,380,,2024-06-11
232,2024-09-21,2024-09,Minnow,Germany,Android,Treatment,0,2,29,,2024-09-23
233,2024-09-14,2024-09,Minnow,US,Android,Treatment,0,2,27,,2024-09-26
234,2024-05-03,2024-05,Minnow,UK,Android,,0,28,569,,2024-08-19
235,2024-04-28,2024-04,Minnow,Other,iOS,,0,11,261,,2024-06-18
236,2024-05-19,2024-05,Minnow,US,Android,,0,0,0,,
237,2024-07-03,2024-07,Minnow,UK,Android,Treatment,0,17,390,,2024-09-26
238,2024-08-26,2024-08,Minnow,US,iOS,Treatment,0,8,175,,2024-09-24
239,2024-04-19,2024-04,Minnow,US,Android,,0,4,84,,2024-05-09
240,2024-06-02,2024-06,Minnow,UK,Android,,0,3,61,,2024-06-05
241,2024-04-14,2024-04,Minnow,US,Android,,0,5,90,,2024-05-15
242,2024-05-09,2024-05,Minnow,US,iOS,,0,36,726,,2024-09-17
243,2024-07-30,2024-07,Minnow,US,iOS,Control,0,9,206,,2024-08-28
244,2024-04-27,2024-04,Minnow,Germany,Android,,0,35,794,,2024-09-23
245,2024-04-19,2024-04,Minnow,US,iOS,,0,8,141,,2024-05-06
246,2024-05-23,2024-05,Minnow,US,iOS,,0,28,600,,2024-09-24
247,2024-05-28,2024-05,Minnow,US,Android,,0,0,0,,
248,2024-04-01,2024-04,Minnow,US,iOS,,0,14,302,,2024-06-05
249,2024-04-23,2024-04,Minnow,Other,Android,,0,0,0,,
250,2024-07-10,2024-07,Minnow,US,iOS,Treatment,0,25,507,,2024-09-23
251,2024-07-31,2024-07,Minnow,US,Android,Control,0,15,288,,2024-09-27
252,2024-08-01,2024-08,Whale,US,Android,Treatment,0,102,14928,,2024-09-28
253,2024-08-18,2024-08,Minnow,UK,iOS,Treatment,0,5,120,,2024-09-04
254,2024-04-14,2024-04,Dolphin,US,iOS,,0,107,5891,,2024-09-27
255,2024-08-30,2024-08,Minnow,US,Android,Control,0,7,159,,2024-09-21
256,2024-06-12,2024-06,Dolphin,US,Android,,0,78,4376,,2024-09-26
257,2024-09-03,2024-09,Minnow,UK,iOS,Treatment,0,6,124,,2024-09-28
258,2024-08-03,2024-08,Minnow,Other,iOS,Control,0,11,253,,2024-09-22
259,2024-06-21,2024-06,Minnow,US,iOS,,0,28,591,,2024-09-21
260,2024-09-28,2024-09,Minnow,Canada,Android,Treatment,0,0,0,,
261,2024-06-16,2024-06,Minnow,Canada,Android,,0,12,252,,2024-08-07
262,2024-08-07,2024-08,Minnow,Other,iOS,Control,0,10,186,,2024-09-23
263,2024-04-02,2024-04,Minnow,Canada,iOS,,0,12,258,,2024-05-20
264,2024-05-15,2024-05,Dolphin,Germany,Android,,2.99,93,4951,2024-07-09,2024-09-28
265,2024-07-05,2024-07,Minnow,Other,Android,Control,0,0,0,,
266,2024-09-23,2024-09,Dolphin,Other,Android,Control,0,5,237,,2024-09-28
267,2024-06-30,2024-06,Minnow,Other,iOS,,0,22,418,,2024-09-21
268,2024-04-17,2024-04,Minnow,UK,Android,,0,56,1179,,2024-09-25
269,2024-07-17,2024-07,Minnow,US,iOS,Treatment,0,6,126,,2024-07-29
270,2024-09-12,2024-09,Minnow,Other,iOS,Control,0,4,93,,2024-09-27
271,2024-05-26,2024-05,Minnow,Germany,iOS,,0,37,745,,2024-09-26
272,2024-08-07,2024-08,Minnow,US,Android,Treatment,0,6,111,,2024-08-31
273,2024-07-28,2024-07,Minnow,UK,iOS,Control,0,13,257,,2024-09-21
274,2024-07-19,2024-07,Minnow,US,Android,Treatment,0,21,404,,2024-09-19
275,2024-07-24,2024-07,Minnow,UK,iOS,Treatment,0,17,337,,2024-09-28
276,2024-06-12,2024-06,Minnow,Germany,Android,,0,27,574,,2024-09-28
277,2024-06-29,2024-06,Whale,Other,Android,,1079.96,165,23343,2024-07-11,2024-09-28
278,2024-04-25,2024-04,Minnow,Germany,iOS,,0,25,510,,2024-08-07
279,2024-06-13,2024-06,Minnow,US,iOS,,0,21,443,,2024-08-30
280,2024-08-07,2024-08,Minnow,Canada,Android,Treatment,0,11,214,,2024-09-21
281,2024-07-21,2024-07,Minnow,UK,Android,Control,0,9,169,,2024-08-19
282,2024-07-21,2024-07,Dolphin,Other,iOS,Control,0,54,2939,,2024-09-28
283,2024-06-18,2024-06,Minnow,Germany,Android,,0,25,489,,2024-09-28
284,2024-09-24,2024-09,Minnow,Australia,iOS,Control,0,1,16,,2024-09-24
285,2024-06-03,2024-06,Minnow,US,iOS,,0,23,480,,2024-09-23
286,2024-06-25,2024-06,Minnow,Other,iOS,,0,21,455,,2024-09-25
287,2024-06-14,2024-06,Minnow,US,iOS,,0,1,16,,2024-06-15
288,2024-09-24,2024-09,Minnow,Other,iOS,Control,0,1,18,,2024-09-24
289,2024-05-19,2024-05,Minnow,US,iOS,,0,10,217,,2024-06-25
290,2024-09-17,2024-09,Minnow,US,iOS,Control,0,5,91,,2024-09-26
291,2024-09-20,2024-09,Minnow,Other,Android,Control,0,2,21,,2024-09-25
292,2024-05-14,2024-05,Minnow,US,Android,,0,3,73,,2024-05-25
293,2024-04-07,2024-04,Minnow,US,Android,,29.99,24,512,2024-06-17,2024-07-21
294,2024-07-29,2024-07,Minnow,US,Android,Control,0,12,220,,2024-09-28
295,2024-09-12,2024-09,Minnow,Other,Android,Treatment,0,1,22,,2024-09-23
296,2024-09-26,2024-09,Minnow,Other,Android,Treatment,0,0,0,,
297,2024-04-18,2024-04,Minnow,US,iOS,,0,26,480,,2024-08-06
298,2024-04-15,2024-04,Minnow,US,Android,,0,42,911,,2024-08-09
299,2024-05-05,2024-05,Minnow,UK,iOS,,0,13,249,,2024-07-08
300,2024-08-16,2024-08,Minnow,US,Android,Treatment,0,8,175,,2024-09-23
301,2024-07-23,2024-07,Dolphin,Other,iOS,Control,0,46,2443,,2024-09-27
302,2024-06-05,2024-06,Minnow,Germany,iOS,,0,29,612,,2024-09-25
303,2024-05-09,2024-05,Minnow,Other,iOS,,0,38,822,,2024-09-12
304,2024-08-07,2024-08,Minnow,UK,Android,Treatment,0,8,169,,2024-09-08
305,2024-04-01,2024-04,Minnow,Germany,iOS,,0,0,0,,
306,2024-04-02,2024-04,Minnow,Germany,Android,,0,18,368,,2024-07-01
307,2024-06-09,2024-06,Minnow,UK,Android,,0,28,539,,2024-09-28
308,2024-04-12,2024-04,Minnow,Other,iOS,,0,6,116,,2024-04-25
309,2024-07-25,2024-07,Minnow,US,Android,Control,0,11,213,,2024-09-21
310,2024-04-12,2024-04,Minnow,Australia,Android,,0,48,946,,2024-09-28
311,2024-04-14,2024-04,Minnow,Other,iOS,,0,45,980,,2024-09-23
312,2024-05-09,2024-05,Minnow,US,Android,,0,8,186,,2024-06-01
313,2024-07-08,2024-07,Minnow,UK,Android,Control,0,21,422,,2024-09-05
314,2024-06-18,2024-06,Dolphin,US,Android,,0,67,3788,,2024-09-28
315,2024-07-29,2024-07,Dolphin,UK,Android,Control,0,50,2906,,2024-09-28
316,2024-04-18,2024-04,Minnow,Canada,iOS,,0,33,700,,2024-08-26
317,2024-04-04,2024-04,Minnow,Australia,iOS,,0,38,792,,2024-09-22
318,2024-04-05,2024-04,Minnow,Germany,iOS,,0,37,783,,2024-09-28
319,2024-04-30,2024-04,Minnow,Canada,Android,,0,15,288,,2024-06-16
320,2024-06-13,2024-06,Minnow,Other,iOS,,0,13,249,,2024-08-14
321,2024-04-12,2024-04,Minnow,US,Android,,0,26,542,,2024-07-06
322,2024-04-17,2024-04,Minnow,UK,Android,,0,37,742,,2024-09-28
323,2024-04-27,2024-04,Minnow,Canada,iOS,,0,9,188,,2024-06-20
324,2024-09-12,2024-09,Minnow,US,Android,Control,0,1,16,,2024-09-15
325,2024-07-23,2024-07,Minnow,US,iOS,Control,0,3,65,,2024-08-04
326,2024-04-17,2024-04,Minnow,US,Android,,0,1,26,,2024-04-28
327,2024-06-29,2024-06,Minnow,UK,Android,,0,4,98,,2024-07-20
328,2024-05-10,2024-05,Minnow,US,iOS,,0,25,504,,2024-08-03
329,2024-08-12,2024-08,Dolphin,Australia,iOS,Treatment,0,33,1836,,2024-09-27
330,2024-08-25,2024-08,Minnow,US,iOS,Treatment,0,0,0,,
